company_name,rating,reviews,jobs,interviews,highly_rated_for,critically_rated_for
Pidilite Industries,4.3,2.9k,--,191,"Job Security, Company Culture, Work Life Balance",
Indian Oil Corporation,4.4,2.9k,--,227,"Company Culture, Work Life Balance, Job Security",
Automatic Data Processing (ADP),4.1,2.9k,51,211,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
DCB Bank,3.8,2.9k,238,172,Work Life Balance,
Whitehat jr,3.5,2.9k,--,309,,"Job Security, Promotions / Appraisal, Work Satisfaction"
Alembic Pharmaceuticals,4.0,2.9k,61,192,"Salary & Benefits, Work Life Balance",
Berger Paints,3.7,2.9k,131,245,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
Bharat Electronics,4.2,2.9k,--,201,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal
Sodexo,4.1,2.8k,99,147,"Work Life Balance, Skill Development / Learning, Company Culture",
Barclays,4.0,2.8k,--,253,"Job Security, Salary & Benefits, Company Culture",Promotions / Appraisal
Carelon Global Solutions,4.0,2.8k,20,339,"Job Security, Salary & Benefits, Company Culture",Promotions / Appraisal
Hindalco Industries,4.2,2.8k,41,195,"Job Security, Skill Development / Learning, Company Culture",
Bank of America,4.4,2.8k,67,223,"Job Security, Work Life Balance, Company Culture",
Lenskart,3.2,2.7k,97,278,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Ford Motor,4.4,2.7k,--,137,"Company Culture, Work Life Balance, Salary & Benefits",
Alkem Laboratories,3.9,2.7k,7,138,Salary & Benefits,
Vishal Mega Mart,3.8,2.7k,2,153,Salary & Benefits,"Job Security, Company Culture, Work Life Balance"
Jindal Steel and Power,4.0,2.7k,17,282,"Job Security, Skill Development / Learning",
Cogent E Services,3.3,2.7k,--,221,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Maersk,4.3,2.7k,79,184,"Company Culture, Work Life Balance, Job Security",
Wipro Infotech,4.0,2.7k,--,213,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
HDFC Ergo General Insurance,4.0,2.7k,39,130,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Escorts Kubota Limited,4.1,2.7k,1,203,"Skill Development / Learning, Work Life Balance, Company Culture",
RBL Bank,3.7,2.7k,52,162,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Johnson Controls,3.6,2.7k,128,238,,"Promotions / Appraisal, Work Satisfaction, Job Security"
Ipca Laboratories,4.0,2.7k,29,149,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
Indian Air Force,4.6,2.7k,--,49,"Job Security, Skill Development / Learning, Salary & Benefits",
